partition 1 (mean = 0.077100)       partition 2 (mean = 0.087917)
7.922671241189165048e-03             2.859930314653466588e-02
5.332421240843131932e-02             1.596570659998498842e-01
4.794518670578770680e-02             6.744629197533467957e-02
4.742510275111844198e-02             7.050282349508349422e-02
8.345861056484583929e-02             9.672855542315136890e-02
9.651202672517018855e-03             1.105235252866492573e-02
4.764517105036401856e-02             1.117491730799740207e-01
5.112057852908744038e-02             1.474997045879348767e-01
9.354601574834513905e-03             2.811177040490255019e-02
1.350487482144142187e-02             3.629277404676280877e-02
3.027947586970529403e-02             3.615736443092963659e-02
6.803319890416387183e-02             9.848410213293992688e-02
6.228802195330897934e-02             8.965751011001749093e-02
4.451014413883492421e-02             8.403474134035708587e-02
5.309080082691716718e-02             5.480233642196732230e-02
4.269566004497239026e-02             5.430367432098063413e-02
6.043198004989625699e-02             1.113090503797721370e-01
4.235284689618915022e-02             5.874260731226150362e-02
5.933798192340919431e-02             5.253661391708806111e-02
1.718528934363535154e-01             3.607697603938593567e-02
5.289512690650823024e-02             6.868207608070923953e-02
6.314972468350467383e-02             6.519486971849321189e-02
1.958697087729908137e-01             9.567349295203853021e-02
4.692489746464528766e-02             7.154705365045366250e-02
4.478954581440235637e-03             3.995515267810297207e-03
2.994002238070700775e-02             3.121971193526426255e-02
1.483296961186312823e-01             2.945334186890653794e-02
5.232155875377764859e-02             1.168692356403286670e-01
6.824062993134098754e-02             7.830633454082372436e-02
5.693625030457769715e-02             6.346223202482177694e-02
8.453704035298366393e-02             1.021620914890503107e-01
1.120954493167462124e-02             7.412977037215851342e-03
4.968164165355713757e-02             5.618839293459190060e-02
7.466542560510841531e-02             7.414183731285214907e-02
3.171225362486037452e-02             6.312792986998386202e-02
5.405455178676915606e-02             8.349554465494483935e-02
2.467739558558804808e-02             4.166318070550615454e-02
7.689480875096972590e-02             7.591495894716671078e-02
5.826406992230284687e-02             5.463556752945743916e-02
1.065185273207739786e-01             5.938793897587309190e-02
1.218870236245751387e-01             4.355099723247281285e-02
5.299931989992642117e-02             6.773340893963862575e-02
1.175195796705928025e-01             7.471522448633703684e-02
2.067256980664251287e-01             5.376448944923527262e-02
1.750133629675709457e-01             1.617431427694226154e-01
1.197911089692866443e-01             1.510954104400566711e-01
1.042626058210087830e-01             2.317121572566877841e-01
6.107069579792839299e-03             6.371414900253832142e-03
6.956267761101886382e-02             2.360514935761124922e-01
2.746683699294064640e-01             2.251113282712717822e-01
5.783216005834503071e-02             1.854488359483793258e-01
2.294011338859074101e-02             1.701045002556678121e-02
5.628826187298377470e-02             2.247474256044696417e-01
3.434768404522905300e-02             3.794455145908958577e-02
2.239571818128295033e-01             2.290902260989639838e-01
2.354363764653610858e-01             2.283203491573519428e-01
1.336271746208520794e-01             8.922905230782915420e-02
2.019575306375518409e-01             1.907798352979708234e-01
8.517456247631462196e-02             5.414329611953394572e-02
4.538276161408916903e-02             5.226395278739830175e-02
3.004698888971318871e-01             3.978628334035352182e-02
2.717452202904724334e-01             2.713006395175335261e-02
1.406387383923966006e-01             8.936364366889652799e-02
1.280195010267339839e-01             6.832890200180197215e-02
2.905400905942270504e-02             2.391270556888299217e-02
1.244783516933251483e-01             8.763338146069002410e-02
7.268236379060405428e-02             9.213681117133418197e-02
6.430285397986341966e-02             9.004541004720011121e-02
6.722884263405601302e-02             6.791210697434271748e-02
5.548750085762949730e-02             6.725781557629673113e-02
8.297767907800922271e-02             1.113764567953129947e-01
4.811284869391545954e-02             7.721737171573068992e-02
4.599125524620350375e-02             5.596688104181218870e-02
4.269466063633613889e-02             5.882782953399248033e-02
7.342613536342801339e-02             7.820312897042099032e-02
4.931942285969326961e-02             6.303334319824929755e-02
4.027037211905302311e-02             4.271504934353233945e-02
4.231376509146859977e-02             7.588495651968726885e-02
5.064114672896843222e-02             7.751449446871654103e-02
1.132733699165086316e-01             1.400655551528713350e-01
5.117428063686697837e-02             1.996098512248732637e-01
5.070152290760071567e-02             5.212553414531424789e-02
6.487195897703201819e-02             6.181931192632136168e-02
