partition 1 (mean = 0.134930)       partition 2 (mean = 0.090506)
1.564340414918036770e-01             6.792577978161293273e-02
9.776741606530377215e-02             6.963175186461584287e-02
1.216710560115288331e-01             7.280930186169920493e-02
1.027794266972443249e-01             7.371036091463371853e-02
1.896317313970032337e-01             9.019635974267778411e-02
1.289762750320555540e-01             9.159977769363360223e-02
1.868885707363315274e-01             9.317195200697524216e-02
9.031604971290607686e-02             3.271172731742861411e-02
9.528248795636476420e-02             5.942851373711120072e-02
1.557535530399695445e-01             7.830976112933958622e-02
9.093337305169760243e-02             1.240381631611037760e-01
1.645018098074423896e-01             8.180398163210723939e-02
8.605162532061137737e-02             5.697185221855781412e-02
1.979283777202228145e-01             4.227668992673943443e-02
1.718712783796546295e-01             6.249267818301289940e-02
1.805521109401829472e-01             7.088059383905988275e-02
1.528200746232184215e-01             6.131133400945303763e-02
1.570754909919129805e-01             8.701407089575204090e-02
2.386449341451480355e-01             6.816176429260399627e-02
1.359363108463236269e-01             6.256657377578214718e-02
1.582684182016037000e-01             7.277478351968649783e-02
1.024915472836687574e-01             7.279665577881559713e-02
1.278819217065548797e-01             1.115363651474278323e-01
1.574069074805753699e-01             8.434026784973071289e-02
2.416142521282427236e-02             3.970706682202054111e-02
1.531451534777281687e-01             8.726633010665621470e-02
1.332527338545688722e-01             8.768931360609349968e-02
1.690197095071077349e-01             9.201850499815225626e-02
2.032513016494739699e-01             8.743979311443743352e-02
2.177831968046177458e-01             8.069162309764367491e-02
5.732495415750411827e-02             5.090697266775658092e-02
1.674149192899922478e-01             9.716582835518204619e-02
1.205861050767237652e-01             7.821281494522751288e-02
3.857015865805538124e-02             8.300321648268699226e-02
8.905511089313078443e-02             1.104866135652776693e-01
1.048453201010107055e-01             7.315541860225888149e-02
1.060349453282379562e-01             7.444325977516527693e-02
1.008147765112213240e-01             5.782472786780233631e-02
1.643644024038780349e-01             9.242386003762677327e-02
5.384133701517503090e-03             1.907156504786455169e-03
9.870431743442607819e-02             5.109788658035144954e-02
1.305701055759278528e-01             1.926940692989944637e-01
2.054744719926414331e-01             4.806037945462635075e-02
5.249738156568097697e-02             3.144444182806233057e-02
7.083794627681298806e-02             1.429521758079505545e-01
1.025694352384541042e-01             6.870594258994719428e-02
1.297743874311663992e-01             8.183939647541622897e-02
8.066576639981801189e-02             7.309635779163094205e-02
1.291083370629445837e-01             8.847318866971172480e-02
4.847637091504037113e-03             3.729076929865886292e-02
1.385380230792313261e-01             9.867904321274412194e-02
8.387312393425709611e-02             6.246246339042346718e-02
4.288940786027733987e-01             1.177670011745741152e-01
1.475068818304271501e-01             4.472677200371456829e-02
1.583015860381405127e-01             1.564364055343951954e-01
9.226176413387701669e-03             6.771151049099022150e-03
1.235023299926862328e-01             5.480427342754707470e-02
1.161189195277796127e-01             8.221663186820578340e-02
2.061307583795542794e-03             6.845231784769765897e-03
2.085101851100110981e-01             9.432001644088991443e-02
1.044689538233793819e-01             6.474446567201211367e-02
2.001361453590496109e-01             1.100348235375076811e-01
6.080229071416836106e-01             4.348956144971260346e-02
1.656227622660025453e-03             1.581738402904065213e-03
1.396251138701584960e-01             7.215186380137141031e-02
2.555727754265808560e-01             6.778299436823717605e-02
1.095344456336444228e-01             9.119939338607840895e-02
7.242584710227698008e-02             1.484726437488222694e-01
1.362442886970270939e-01             7.841713315205385559e-02
1.448258285543360391e-01             1.497473028747519641e-01
2.609422472579316366e-01             6.648773222477069589e-02
1.434646779308762776e-01             2.629748974613366208e-02
8.349212222230524283e-01             5.169009557592253723e-02
8.045216771129112820e-02             3.187120362326908984e-01
1.382550785364828894e-01             2.812578515769510457e-01
1.844588870210376805e-02             2.447891219011104000e-02
1.006157620089938032e-01             7.960991330559100132e-02
1.212023111635410072e-01             9.955444319425180155e-02
1.127427442375711769e-01             8.387159546165914858e-02
1.376962561324054923e-01             1.437585892120167297e-01
9.462186472784378521e-02             2.367846143527978231e-01
1.030601760028509728e-01             9.167781053108388367e-02
6.403339951386764761e-02             5.128056501194883793e-02
2.873466942054379025e-01             8.808378693389179448e-02
9.360850415688065640e-02             1.772297161763003170e-01
2.806176517344025068e-02             2.763393232472139208e-02
1.483026416265124658e-01             4.609010474226309384e-01
6.902739238735437766e-02             1.951171492463281421e-01
2.789988333384993760e-02             4.154556993628914507e-01
2.372761326408603932e-02             2.535513424980275973e-02
5.182726091833211521e-03             1.731361463685178181e-01
6.966834042385142145e-02             1.960297062157095593e-01
2.079233157106747110e-01             8.943100179314705800e-02
1.786481981869715574e-02             1.694859919860679937e-02
1.079301752359438371e-01             1.667989890602890046e-01
8.674933838080781112e-02             8.348168695219418400e-02
3.844694859682275256e-02             5.613761816902283763e-02
3.566361958156713530e-01             7.719236149131818159e-02
1.296891594401959613e-01             8.488493572080108018e-02
6.015412438673116424e-02             8.152564870453841983e-02
9.492984482623960385e-02             7.737921514955768687e-02
1.024657867014805018e-01             4.879438006951627993e-02
2.675536394375759297e-01             9.983876395691010375e-02
1.344690411825618659e-01             1.089217426519982351e-01
1.941282707187699796e-01             1.328105939504317656e-01
8.841569839398413788e-02             1.151427606973995793e-01
1.652691850170374122e-01             1.165194396242102970e-01
1.109263217954112174e-01             2.360265129622571567e-01
1.661013804035863517e-01             2.272245662170259140e-01
9.173657163920179158e-02             2.272325696376475135e-01
1.127861205888593121e-01             2.364437741332987286e-01
1.551364885158563189e-01             9.470107241841689560e-02
9.726085414095252124e-02             1.158425297570683382e-01
1.334432193437097292e-01             5.908721950696551456e-02
1.658477021211935409e-01             6.983976268419955780e-02
1.604224102798467999e-01             7.777441686805772192e-02
1.340911811588271219e-01             6.903204046246406989e-02
1.521925132399183922e-01             6.473998693655773351e-02
1.111348783859249234e-01             6.390573882950113804e-02
1.427862144113138942e-01             6.866746385226137062e-02
1.653545128909136575e-01             7.357780903841765197e-02
1.282669004712816418e-01             7.056766683980601751e-02
1.256668017300930917e-01             5.546456138231921351e-02
1.150345937428798315e-01             5.673636132913182500e-02
5.954434823241176733e-02             3.799967966228438160e-02
6.989357645357821558e-02             4.998796549916893761e-02
1.623910904992694193e-01             4.671479682941680200e-02
9.117750693445018928e-02             4.878819148941481582e-02
7.099781691670253858e-02             5.783658980578294806e-02
7.734727743310795822e-02             8.076463673423316114e-02
1.360156060879847140e-01             8.550022164725754048e-02
1.601098276817752852e-02             9.177565736479575617e-03
4.087884389823584486e-02             1.627626018657296059e-01
1.434373270223847363e-01             9.075813734170261327e-02
1.224010345206065498e-01             1.041901324084907321e-01
8.290794548477632697e-02             6.925009787332798983e-02
1.462635141441095410e-01             7.826157255114324363e-02
2.557142815826376342e-02             3.300735307824915338e-02
1.264537248474866815e-01             7.683265651316796563e-02
1.877083363504749025e-01             9.194692742310507649e-02
1.147784424373867601e-01             7.760860415764692100e-02
1.438946733007942513e-01             4.572070746149002607e-02
5.626659511802568209e-02             5.262587101806217443e-02
1.396631585482509957e-02             1.624554798144246803e-02
1.591063185218063447e-01             5.408052415998262918e-02
1.215830673588771393e-01             7.907697055016645049e-02
1.571135528302944062e-01             6.007769271543689227e-01
1.416556472911595643e-01             4.933485946526128263e-02
2.397399330244906826e-02             9.434445460471096653e-03
1.042235108342424131e-02             1.830612039795355764e-02
1.522977894220127471e-01             9.624514023145569475e-02
9.528720246464343624e-02             5.574069366130746106e-02
8.107872878974440312e-01             5.671583641311349344e-02
1.304963344063148067e-01             7.565212316166544659e-02
6.863234559777025255e-03             8.830278569924557633e-03
2.015282131274910293e-01             7.605220646896038161e-02
9.294925474991519443e-02             7.682070137099139551e-02
1.068903370323420580e-02             1.943807139790375282e-02
2.601168492983483432e-02             1.216871377384818285e-02
9.637472668523761055e-02             4.642678808698910004e-02
1.478432485978978528e-01             5.154287859973771119e-02
1.392571518963785782e-01             8.536151834589830734e-02
2.610139339356380428e-01             5.985616067696485770e-02
1.848532982218168141e-01             5.245514540791484936e-02
